board_pos,w_safety,b_safety,w_central,b_central,w_rating,b_rating,turn,square_0,square_1,square_2,square_3,square_4,square_5,square_6,square_7,square_8,square_9,square_10,square_11,square_12,square_13,square_14,square_15,square_16,square_17,square_18,square_19,square_20,square_21,square_22,square_23,square_24,square_25,square_26,square_27,square_28,square_29,square_30,square_31,square_32,square_33,square_34,square_35,square_36,square_37,square_38,square_39,square_40,square_41,square_42,square_43,square_44,square_45,square_46,square_47,square_48,square_49,square_50,square_51,square_52,square_53,square_54,square_55,square_56,square_57,square_58,square_59,square_60,square_61,square_62,square_63,1,2,3,4,5,6,7,8,a,b,c,d,e,f,g,h,columns_moved,ranks_moved,promote_q,promote_r,promote_b,promote_n
8/8/8/8/8/2kp2K1/R3qPP1/5r2 b - - 9 56,19,19,0,3,1410,1409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,12,0,8,0,0,0,5,7,7,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
r2q1rk1/ppp2ppp/2nbbn2/3p4/3P4/2NBBN2/PPPQ1PPP/2KR3R b - - 11 9,4,1,5,5,1750,1750,1,2,0,0,5,0,2,6,0,1,1,1,0,0,1,1,1,0,0,3,4,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,10,10,9,0,0,7,7,7,11,0,7,7,7,0,0,12,8,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
8/6p1/1p4Bp/pP1pk2P/P3p1b1/4P1P1/2r2P2/R4K2 b - - 7 34,3,13,2,6,2110,2146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,1,1,7,0,1,6,0,0,7,7,0,0,0,1,0,4,0,0,0,0,0,7,0,7,0,0,0,2,0,0,7,0,0,8,0,0,0,0,12,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
r1b1k2r/pp2bpp1/2p1pn1p/q2p4/2PP4/P1N1PNP1/1PQ2PP1/R3KB1R w KQkq - 1 12,5,5,5,3,2025,2017,0,2,0,4,0,6,0,0,2,1,1,0,0,4,1,1,0,0,0,1,0,1,3,0,1,5,0,0,1,0,0,0,0,0,0,7,7,0,0,0,0,7,0,9,0,7,9,7,0,0,7,11,0,0,7,7,0,8,0,0,0,12,10,0,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1k1r4/p1p2q1p/1P2p3/1b1p2Pp/3P3P/4Q3/PB6/2K1R3 b - - 0 27,16,7,4,3,1751,1749,1,0,6,0,2,0,0,0,0,1,0,1,0,0,5,0,1,0,7,0,0,1,0,0,0,0,4,0,1,0,0,7,1,0,0,0,7,0,0,0,7,0,0,0,0,11,0,0,0,7,10,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,4,1,2,1,1899,1847,0,2,3,4,5,6,4,3,2,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,7,7,7,8,9,10,11,12,10,9,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3r1r2/2p2pkp/p5p1/3b1p2/1P6/P3PN2/3P1PPP/1R3RK1 w - - 0 19,1,8,2,3,1791,1793,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,6,1,1,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,7,0,0,0,0,0,0,7,0,0,0,7,9,0,0,0,0,0,7,0,7,7,7,0,8,0,0,0,8,12,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0
r5k1/5p1p/5n2/5bp1/3p2P1/7P/PP2NP2/4RBK1 b - - 1 27,5,4,1,3,2419,2407,1,2,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,7,7,7,0,0,9,7,0,0,0,0,0,0,8,10,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2kr3r/p6p/n1p2p1p/1pP5/4p3/P3P2P/3NRPPq/R2Q1K2 w - - 1 22,2,11,2,4,1263,1214,0,0,0,6,2,0,0,0,2,1,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,7,0,0,7,0,0,0,9,8,7,7,5,8,0,0,11,0,12,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
rnbqkbnr/ppp2ppp/4p3/8/3Pp3/3B4/PPP2PPP/RNBQK1NR w KQkq - 0 4,10,8,3,3,2087,2069,0,2,3,4,5,6,4,3,2,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,10,0,0,0,0,7,7,7,0,0,7,7,7,8,9,10,11,12,0,9,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
